"author"	"published_at"	"updated_at"	"like_count"	"text"
"@Rip_1x4"	"2026-03-08T17:38:05Z"	"2026-03-08T17:38:05Z"	"1"	"God Bless America  Sea Chile 🇨🇱,Argentina 🇦🇷, Uruguay 🇺🇾, Paraguay 🇵🇾,Bolivia🇧🇴 , Peru 🇵🇪, Ecuador 🇪🇨, Brazil 🇧🇷, Colombia 🇨🇴, Venezuela 🇻🇪, Guyana 🇬🇾, Panama 🇵🇦, Costa Rica 🇨🇷, Nicaragua 🇳🇮, Honduras 🇭🇳, El Salvador 🇸🇻, Guatemala 🇬🇹, Mexico 🇲🇽, Cuba 🇨🇺, Republica Dominicana 🇩🇴 Jamaica 🇯🇲, Haiti 🇭🇹, Antilla 🇨🇼🇦🇼🇧🇧🇹🇹, United States 🇺🇸, Canada 🇨🇦   And my motherland mi patria Puerto Rico 🇵🇷"
"@marianasolis8470"	"2026-03-08T17:33:04Z"	"2026-03-08T17:33:34Z"	"1"	"God bles américa tierras castigadas por tantos.  Frente  alto y arriba mi patria Argentina y no sé olvide África. Dios nos bendiga."
"@Gemy_ta"	"2026-03-08T17:28:07Z"	"2026-03-08T17:28:35Z"	"1"	"Por eso los jubilados, buscan América del sur para Pasar sus mejores años. Incluido cuenca Ecuador"
"@uathduir"	"2026-03-08T17:21:38Z"	"2026-03-08T17:21:38Z"	"0"	"A la de Slogan a la de la Sagitario"
"@uathduir"	"2026-03-08T17:19:29Z"	"2026-03-08T17:19:29Z"	"0"	"Rickyy a soñar a manesa de la Colombia y due a lo quintero de regeateon"
"@bennysoprano-music"	"2026-03-08T17:18:23Z"	"2026-03-08T17:18:23Z"	"1"	"Que rico se siente ser latino-español"
"@EricTaylor-cn4zq"	"2026-03-08T17:17:10Z"	"2026-03-08T17:17:23Z"	"0"	"<a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=408"">6:48</a>"
"@uathduir"	"2026-03-08T17:14:14Z"	"2026-03-08T17:14:14Z"	"0"	"Gran Kongo Le Maestro//"
"@meyou2265"	"2026-03-08T17:07:22Z"	"2026-03-08T17:07:22Z"	"1"	"PUERTO RICO ESTÁ BIEN CABRÓN 🇵🇷🩵🤍❤️  Seguimo’ aquí ✊🏼"
"@AvianKing-v2x"	"2026-03-08T17:05:15Z"	"2026-03-08T17:05:15Z"	"0"	"My favorite song oh my God"
"@PrettyBrownEyes-Ent"	"2026-03-08T16:44:55Z"	"2026-03-08T16:44:55Z"	"4"	"Great performance. I’m glad Benito slapped colorism in the face."
"@tomcas28"	"2026-03-08T16:40:51Z"	"2026-03-08T16:40:51Z"	"3"	"Whos watching 1 month later?"
"@FatmehAkili-v7x"	"2026-03-08T16:40:50Z"	"2026-03-08T16:45:34Z"	"0"	"ممكن اسم الأغاني التي غناها باد باني"
"@athulsamuel5560"	"2026-03-08T16:36:43Z"	"2026-03-08T16:36:43Z"	"0"	"Grammy to kid scene <a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=547"">9:07</a>"
"@CatedraldelGroove"	"2026-03-08T16:36:13Z"	"2026-03-08T16:36:13Z"	"0"	"La transición entre canciones es perfecta."
"@harrye5494"	"2026-03-08T16:35:55Z"	"2026-03-08T16:35:55Z"	"0"	"why he not singing in english?"
"@TheGreatSpaceHobo"	"2026-03-08T16:25:04Z"	"2026-03-08T16:25:04Z"	"1"	"Weeks later I still love to watch this. Only thing that makes me feel any pride in where I come from"
"@GinaFonseca-x1o"	"2026-03-08T16:21:36Z"	"2026-03-08T16:21:36Z"	"0"	"Il"
"@GiselaGarcia-y4g"	"2026-03-08T16:09:47Z"	"2026-03-08T16:09:47Z"	"0"	"YdyduuwiskbzjKlao"
"@GiselaGarcia-y4g"	"2026-03-08T16:09:37Z"	"2026-03-08T16:09:37Z"	"0"	"No wow q spertacularwskdjjdhwhhq"
"@FabiolaAguirre-v7e"	"2026-03-08T15:57:17Z"	"2026-03-08T15:57:17Z"	"1"	"EL SALVADOR 🇸🇻🇸🇻🇸🇻🇸🇻"
"@iMahree"	"2026-03-08T15:50:23Z"	"2026-03-08T15:50:23Z"	"1"	"Madre patria te Amo!🇵🇷🙏🏻♥️"
"@YuriRuiz-r1j"	"2026-03-08T15:36:07Z"	"2026-03-08T15:36:07Z"	"0"	"ame a lady gaga"
"@allanguzman3971"	"2026-03-08T15:18:57Z"	"2026-03-08T15:18:57Z"	"0"	"A mamar"
"@MargotCueva-x1i"	"2026-03-08T15:05:40Z"	"2026-03-08T15:05:40Z"	"1"	"Viva Puerto rico 🎉❤"
"@lizmartinez5495"	"2026-03-08T14:58:48Z"	"2026-03-08T14:58:48Z"	"0"	"Ford or Chevy truck?"
"@peteraitchison7175"	"2026-03-08T14:48:46Z"	"2026-03-08T14:48:46Z"	"0"	"Well Im fluent Spanish and I only understood like 40% of what he said, ts is complete dogshit"
"@krissia0892"	"2026-03-08T14:44:25Z"	"2026-03-08T14:44:25Z"	"1"	"Yo, pero sola yo, pero"
"@LuckyCher"	"2026-03-08T14:39:47Z"	"2026-03-08T14:39:47Z"	"2"	"I know you all still coming back!!"
"@EliLug"	"2026-03-08T14:27:18Z"	"2026-03-08T14:27:18Z"	"1"	"❤❤❤❤😊😊😊"
"@russellho3"	"2026-03-08T14:24:45Z"	"2026-03-08T14:24:45Z"	"0"	"Diarrhea"
"@AngelRivera-gm7bx"	"2026-03-08T14:14:59Z"	"2026-03-08T14:14:59Z"	"2"	"Wonderful production !! Great job Benito !!"
"@DavidArancibia-p9y"	"2026-03-08T13:27:15Z"	"2026-03-08T13:27:15Z"	"3"	"Exijo que TODOS los álbumes en inglés de Lady Gaga sean editados y reformateados a salsas y merengues 🔥🔥🔥🔥"
"@dpactootle2522"	"2026-03-08T12:47:42Z"	"2026-03-08T12:47:42Z"	"3"	"Beautiful."
"@defiantlypinki1107"	"2026-03-08T12:27:00Z"	"2026-03-08T12:27:00Z"	"6"	"I don’t speak Spanish but the dancing spoke to me! ❤❤❤"
"@Heccordero2"	"2026-03-08T12:11:02Z"	"2026-03-08T12:14:11Z"	"5"	"Lets make sure Benito tops Kendrick Lamar in views. Benito deserves it amazing show music culture. Team Bad Bunny. 🐇👍"
